dimensions,num_beds,num_baths,house_type,city,location,area_block,price,unique_id,View,Floor Level,Balcony or Terrace,Flooring,Parking Spaces,Elevators in Building,24 Hours Concierge,Double Glazed Windows,Freehold,Waste Disposal,Lobby in Building,Electricity Backup,Intercom,CCTV Security,Maintenance Staff,Swimming Pool,Storage Areas,Barbeque Area,Cleaning Services,Service Elevators,Cafeteria or Canteen,Broadband Internet,Central Heating,Lawn or Garden,Furnished,Prayer Room,Conference Room,Business Center,Laundry Facility,Jacuzzi,Steam Room,Day Care Center,First Aid Medical Center,Shared Kitchen,ATM Facility,Facilities for Disabled,Sauna
2200.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block J,35000.0,3836600,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block J,30000.0,3841871,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800.0,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,20000.0,3836597,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800.0,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,20000.0,3836599,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800.0,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,20000.0,3836596,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800.0,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,20000.0,3836598,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block F,25000.0,3849420,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1420.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block F,28000.0,3849419,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1650.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block I,22000.0,3864141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block D,45000.0,3215110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,25000.0,3215915,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,25000.0,3215917,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,25000.0,3215921,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300.0,4,4,Apartment,Dhaka,Bashundhara R-A,Block D,55000.0,3216766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,25000.0,3215920,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,25000.0,3215916,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,25000.0,3215914,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100.0,3,4,Apartment,Dhaka,Bashundhara R-A,Block D,32000.0,5382181,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,35000.0,3640387,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,22000.0,3173718,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,22000.0,3173717,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,22000.0,3173716,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block D,28000.0,3639334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500.0,3,3,Apartment,Dhaka,Bashundhara R-A,Block F,23000.0,3067394,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
