dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
850 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,At Dhanmondi flat for Rent close to Dhanmondi Jame Masjid,/en/property/details-1911727.html,15000.0
850 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Near Dhanmondi Jame Masjid flat for rent in Dhanmondi,/en/property/details-1911726.html,15000.0
"1,750 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 9A,1750 SQ FT flat for Rent in Dhanmondi close to Jame Masjid,/en/property/details-1885087.html,50000.0
"1,100 sqft",3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,An apartment is waiting for rent at West Dhanmondi and Shangkar nearby Jafrabad Government Primary School,/en/property/details-1874050.html,19000.0
"1,200 sqft",3,3,Apartment,Dhaka,Dhanmondi,North Circular Road,"Flat Can Be Found In Dhanmondi For Rent, Near Old Kalabagan Police Station",/en/property/details-1872815.html,25000.0
"1,857 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 6A,Near Jame Masjid flat for rent in Dhanmondi,/en/property/details-1872385.html,55000.0
"2,100 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 5,Flat For Rent In Dhanmondi Near Eastern University,/en/property/details-1870906.html,55000.0
"1,350 sqft",3,4,Apartment,Dhaka,Dhanmondi,North Circular Road,For Rent Covering An Area Of 1350 Sq Ft In Dhanmondi Nearby Old Kalabagan Police Station,/en/property/details-1867676.html,25000.0
600 sqft,2,1,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"600 Sq Ft Flat Can Be Found In Jafra Bad Road For Rent, Near Durga Mandir",/en/property/details-1848212.html,12000.0
"2,100 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 7,2100 SQ Ft apartment for rent is all set for you to settle in Dhanmondi close to Excel Academy,/en/property/details-1863365.html,55000.0
850 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,Near Dhanmondi Jame Masjid 850 SQ FT flat for rent in Dhanmondi,/en/property/details-1859969.html,15000.0
850 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"In Dhanmondi, a 850 SQ FT apartment for rent is available, near Shimanto Square",/en/property/details-1849246.html,13000.0
"1,200 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 4A,"In Dhanmondi, a 1200 SQ FT apartment for rent is available, near University of Liberal Arts Bangladesh Campus A",/en/property/details-1847525.html,35000.0
900 sqft,3,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi,"900 SQ FT apartment for rent near Shimanto Square, in Dhanmondi",/en/property/details-1844257.html,20000.0
"1,100 sqft",3,2,Apartment,Dhaka,Dhanmondi,Road No 12A,"1100 Sq Ft In Total Nice Flat That You Have Been Looking For, This Flat For Rent Is Located Dhanmondi Near Dhanmondi Kamrunnessa Govt. Girls' High School",/en/property/details-1844244.html,18000.0
850 sqft,2,2,Apartment,Dhaka,Dhanmondi,Jhigatola Road,850 Sq Ft Flat For Rent In Dhanmondi Close To Jhigatola Bus Stand,/en/property/details-1839516.html,15000.0
850 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,850 Sq Ft Apartment For Rent Is All Set For You To Settle In Dhanmondi Close To Rayer Bazar High School,/en/property/details-1834876.html,15000.0
"1,900 sqft",4,3,Apartment,Dhaka,Dhanmondi,Road No 8A,Check This Nice 4 Bedrooms Flat For Rent At Dhanmondi Nearby Junior Laboratory High School,/en/property/details-1828913.html,40000.0
"1,160 sqft",3,3,Apartment,Dhaka,Dhanmondi,West Dhanmondi,"In West Dhanmondi, A 1160 Sq Ft Apartment For Rent Is Available, Near Shimanto Square",/en/property/details-1827823.html,20000.0
850 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi,"Available in Dhanmondi, an apartment of 850 SQ FT is available, near Shimanto Square",/en/property/details-1827302.html,12000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi,A well-constructed 800 SQ FT flat is ready for Rent in Dhanmondi close to Bangladesh Medical College,/en/property/details-1825224.html,16000.0
"1,300 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 8A,"Nice and cozy this 1300 Sq. Ft. flat for rent is located at Dhanmondi, near to Kakoli High School &amp; College",/en/property/details-1818897.html,38000.0
"1,245 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 8A,"Comfortable, convenient and well constructed 1245 SQ FT flat for rent in Dhanmondi Road 8A, near Maple Leaf International School",/en/property/details-1818363.html,30000.0
800 sqft,2,2,Apartment,Dhaka,Dhanmondi,West End Street,Visit This Flat For Rent Covering An Area Of 800 Sq Ft In West End Street Nearby Ywca Higher Secondary Girls' School,/en/property/details-1816510.html,20000.0
"2,250 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 14A,A Well-constructed 2250 Sq Ft Flat Is Ready For Rent In Dhanmondi Close To Bangladesh Medical College,/en/property/details-1811145.html,45000.0
850 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"A Well Defined Residential Flat Of 850 Sq Ft Is Available For Rent In West Dhanmondi And Shangkar, Near Maple Leaf International School",/en/property/details-1811069.html,15000.0
"3,000 sqft",4,5,Apartment,Dhaka,Dhanmondi,Road No 12A,"Reside conveniently in this well constructed 3000 SQ FT flat for rent in Dhanmondi, Road No 12A near Taqwa Jame Masjid.",/en/property/details-1803497.html,150000.0
"2,200 sqft",3,4,Apartment,Dhaka,Dhanmondi,Road No 9A,Check this comfortable and nice 2200 SQ Ft apartment for rent at Dhanmondi nearby Abahani Playground.,/en/property/details-1803130.html,50000.0
900 sqft,2,2,Apartment,Dhaka,Dhanmondi,West Dhanmondi and Shangkar,"A noteworthy Flat up for rent in Jafra Bad Road, near Chhayanaut, of 900 SQ FT is available and open for new tenants to move in.",/en/property/details-1799071.html,17000.0
"2,150 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 15A,"Reside conveniently in this well constructed 2150 SQ FT flat for rent in Dhanmondi, near Bangladesh Medical College",/en/property/details-1792409.html,60000.0
"2,100 sqft",3,4,Apartment,Dhaka,Dhanmondi,Central Road,Check this comfortable and nice 2100 SQ Ft apartment for rent at Central Road nearby Southeast Bank Limited | ATM Booth.,/en/property/details-1792037.html,50000.0
"2,200 sqft",4,4,Apartment,Dhaka,Dhanmondi,Road No 9A,"A nicely constructed flat of 2200 SQ FT can be found in Dhanmondi Riad 9A for rent, near Maple Leaf International School",/en/property/details-1780136.html,55000.0
650 sqft,2,2,Apartment,Dhaka,Dhanmondi,Road No 9A,"Obtain Your New Residence At This, 650 Sq Ft Apartment Up For Rent At Road No 9a, Dhanmondi Nearby Maple Leaf International School.",/en/property/details-1778889.html,15000.0
"1,350 sqft",3,4,Apartment,Dhaka,Dhanmondi,North Circular Road,"Find your desired apartment at this 1350 SQ Ft ready flat for rent at North Circuler Road, Dhanmondi",/en/property/details-1777776.html,25000.0
"1,250 sqft",3,3,Apartment,Dhaka,Dhanmondi,Road No 9A,"Beautiful And Well-constructed 1250 Sq Ft Apartment Is Ready For Rent At Road No 9a, Dhanmondi Nearby Naaz E Noor Hospital (pvt) Ltd.",/en/property/details-1777917.html,35000.0
"1,465 sqft",3,3,Apartment,Dhaka,Dhanmondi,Central Road,"Start Residing In This 1465 Sq Ft, Properly Developed Flat For Rent, In Dhanmondi, Near Hatirpool Kacha Bazar.",/en/property/details-1775871.html,32000.0
400 sqft,1,1,Apartment,Dhaka,Dhanmondi,West End Street,400 Sq Ft Flat Is Now Vacant For Rent In Hatirpool Close To Kalabagan Thana,/en/property/details-1775487.html,12000.0
