dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"2,200 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"2200 Sq Ft Flat For Rent In Gulshan 1, Close To City Bank Limited",/en/property/details-1908738.html,80000.0
"3,715 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,A Lavish Lodging In Gulshan Is Vacant For Rent,/en/property/details-1908695.html,200000.0
"3,715 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,Flat for rent in Gulshan 2 near Pink City,/en/property/details-1908696.html,200000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,An Apartment For Rent Is All Set For You To Settle In Gulshan 2 Close To Banani Bidyaniketan School &amp; College.,/en/property/details-1907837.html,110000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"An Apartment is up for rent in Gulshan 2, near Embassy of North Korea",/en/property/details-1902745.html,80000.0
"2,200 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 2,Flat For Rent In Gulshan 2 Near Gulshan 2 Dcc Market,/en/property/details-1902369.html,60000.0
"1,950 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Apartment for Rent in Gulshan near EBL,/en/property/details-1902278.html,100000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,Flat for rent in Gulshan 1 near Gulshan 1 DCC market,/en/property/details-1901847.html,180000.0
"3,950 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,Flat for rent in Gulshan 1 near Gulshan 1 DCC market,/en/property/details-1901381.html,170000.0
"2,600 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,2600 SQ Ft apartment for Rent is located on Gulshan 1 near to Jamuna Bank Limited,/en/property/details-1898323.html,60000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Well Built And Properly Designed Residential Flat Of 2000 Sq Ft In Gulshan For Rent, Near Pink City",/en/property/details-1751671.html,80000.0
"2,250 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,2250 Sq Ft Flat For Rent In Gulshan 2 Near Azad Mosque,/en/property/details-1896679.html,80000.0
"2,430 sqft",4,3,Apartment,Dhaka,Gulshan,Gulshan 1,"Amazing Apartment Up For Rent At Gulshan-1, Nearby Korean International Club",/en/property/details-1895492.html,80000.0
"2,100 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"2100 Sq. Ft. apartment for rent is located at Gulshan 1, near to Tusi Medicine Corner",/en/property/details-1887941.html,50000.0
"3,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,Flat near Gulshan Jame Masjid for Rent in Gulshan,/en/property/details-1887082.html,80000.0
"2,700 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 1,2700 Sq Ft Flat For Rent In Gulshan 1 Near Gulshan 1 Dcc Market,/en/property/details-1885388.html,75000.0
