dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,750 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,"Start your new life in your new home, see this nicely planned 1750 SQ FT flat which is up for rent in Bashundhara, Block F nearby Eastern Bank Limited | ATM Booth.",/en/property/details-1790360.html,30000.0
"1,750 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,"Looking For A Bigger Place? Try Us, As We Have This Apartment Ready For Rent At Bashundhara, Nearby Ific Bank Limited | Bashundhara Branch.",/en/property/details-1789617.html,27000.0
"1,550 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,Ready Flat 1550 Sq Ft Is Now For Rent In Bashundhara R/a Nearby Playpen,/en/property/details-1783395.html,25000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block D,"Comfortable, Convenient And Well Constructed 1250 Sq Ft Flat For Rent In Bashundhara R/a Block D, Near Independent University Bangladesh",/en/property/details-1788497.html,24000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block D,"Comfortable And Well Designed Flat Of 1250 Sq Ft In Bashundhara R/a Block D For Rent, Near North South University",/en/property/details-1788495.html,24000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block D,"Picture Yourself, Residing In This Well Constructed And Planned 1250 Sq Ft Flat In Bashundhara R/a Block D For Rent, Near Viquarunnisa Noon School And College Bashundhara Branch",/en/property/details-1788493.html,24000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block D,"Looking For Convenience? Well, Look No Further As We Have This 1250 Sq Ft Ready Flat For Rent At Bashundhara Nearby Ebenzer International School, Dhaka.",/en/property/details-1788461.html,24000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block D,"Rarely Available 1250 Sq Ft Apartment Is Up For Rent At Bashundhara Nearby Shanghai Shengyouming Industry Co. ,ltd (xingzhi Group).",/en/property/details-1788460.html,24000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block D,For Renting 1250 Square Feet Flat Is Available In Bashundhara R/a Near To Nsu,/en/property/details-1788458.html,24000.0
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"Start a new home, in this 1400 SQ FT flat for rent in Bashundhara R/A Block D, near Playpen School Junior Section",/en/property/details-1788007.html,25000.0
"1,451 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block D,"A well defined residential flat of 1451 SQ FT is available for rent in Bashundhara R/A Block D, near North South University",/en/property/details-1783052.html,30000.0
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Your new home is waiting for you in this lovely apartment for rent includes 1400 SQ Ft at Bashundhara nearby Playpen School Junior Section.,/en/property/details-1781968.html,28000.0
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block I,"A Well Defined Residential Flat Of 1150 Sq Ft Is Available For Rent In Bashundhara R/a Block I, Near Mosque Madrasa",/en/property/details-1781289.html,20000.0
"1,650 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,"Get comfortable in a 1650 SQ FT flat for rent in Bashundhara R/A Block J, near Mosque Madrasa",/en/property/details-1780101.html,25000.0
"1,300 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block C,Find your desired apartment at this 1300 SQ Ft ready flat for rent at Bashundhara R/A nearby C Block Mosjid.,/en/property/details-1778116.html,22000.0
"1,950 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,"Visit this flat for rent covering an area of 1950 SQ FT in Bashundhara nearby Independent University, Bangladesh.",/en/property/details-1777430.html,30000.0
"1,950 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,"Get Comfortable In A 1950 Sq Ft Flat For Rent In Bashundhara R/a Block B, Near Independent University, Bangladesh",/en/property/details-1777308.html,35000.0
"2,500 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,"See, This 2500 Sq Ft Beautiful Apartment And Make It Your New Home Which Is Up For Rent In Bashundhara R/a Nearby Iub School Of Engineering And Computer Science.",/en/property/details-1778973.html,52000.0
"1,250 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block C,"Visit this flat for rent covering an area of 1250 SQ FT at Block C, Bashundhara R/A nearby C Block Mosjid.",/en/property/details-1778031.html,20000.0
"1,975 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,"A Nice Residential Flat Of 1975 Sq Ft, For Rent, Can Be Found In Bashundhara R/a Block B, Near Independent University, Bangladesh",/en/property/details-1776602.html,37000.0
"1,550 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block B,"Comfortable And Well Designed Flat Of 1550 Sq Ft In Bashundhara R/a Block B For Rent, Near Southeast Bank Limited",/en/property/details-1775402.html,24000.0
"2,200 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block A,"Flat For rent In Bashundhara R/a Block A, Near Sekandar Bag Jame Masjid",/en/property/details-1776974.html,50000.0
"2,200 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block A,A Well-constructed Flat Is Ready For Rent In Bashundhara R/a Close To North South University,/en/property/details-1777028.html,50000.0
"2,200 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block A,2200 Square Feet A Decent Flat Which Is Near To IUB Is Now For Rent In Bashundhara R/a,/en/property/details-1777031.html,50000.0
"2,200 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block A,"Flat Can Be Found In Bashundhara R/a Block A For Rent , Near Southeast Bank Limited",/en/property/details-1777011.html,50000.0
"2,200 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,"Flat For Rent In Bashundhara R/A Block A, Near Eastern Bank Limited",/en/property/details-1777018.html,50000.0
"2,200 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block A,Flat is now available for rent  nearby NSU in Bashundhara R/A,/en/property/details-1776970.html,50000.0
"1,710 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block G,1710 sft ready flat for rwnt in Bashundhara Residential,/en/property/details-1770639.html,25000.0
"2,000 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,2000 Sq Ft Residential Apartment To Rent In Bashundhara R/A,/en/property/details-1679596.html,32000.0
"1,470 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,1470 SQ FT flat is now Vacant for rent in Bashundhara R/A close to Viquarunnisa Noon School and College,/en/property/details-1766814.html,23000.0
"2,050 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block E,A well defined residential flat of 2050 SQ FT is available for Rent in Bashundhara R/A Block E,/en/property/details-1765634.html,32000.0
"2,350 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block C,2350 Square Feet Residential Apartment For Rent In Bashundhara,/en/property/details-1685812.html,43000.0
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block H,Get a comfortable 1400 SQ FT flat ready for rent at Bashundhara R/A near Sapra Mosque,/en/property/details-1766277.html,25000.0
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Offering You 1450 Sq Ft Flat For Rent In Bashundhara R-A Near To Sunflower School And College,/en/property/details-1766410.html,26000.0
"2,100 sqft",3,5,Apartment,Dhaka,Bashundhara R-A,Block A,Offering you a very Open 2100 SQ FT flat for Rent in Bashundhara R/A near to Masjid - Block A,/en/property/details-1765454.html,60000.0
"1,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"Choose your destination, 1100 SQ FT flat which is available for Rent in Bashundhara R/A near to Playpen School",/en/property/details-1764293.html,26000.0
"1,319 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,1319 SQ FT flat is situated at Bashundhara R/A near Ebenzer International School which is waiting for being rented,/en/property/details-1757161.html,25000.0
"2,500 sqft",4,3,Apartment,Dhaka,Bashundhara R-A,Block F,Reasonable 2500 Sq Ft Flat Is Available For Rent In Bashundhara R/a Near To Viquarunnisa Noon School And College,/en/property/details-1759809.html,40000.0
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Have A Look At This 1400 Sq Ft Flat Which Is Up For Rent Located At Bashundhara R/a Near To Mehedi Mart,/en/property/details-1759272.html,22000.0
