dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
600 sqft,2,1,Apartment,Dhaka,Mirpur,Section 1,For rental purpose 600 Square feet well-constructed apartment is available in Mirpur 1,/en/property/details-3333961.html,10000.0
600 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,Worthy 600 SQ FT Nice home is ready to Rent at Pirerbag,/en/property/details-5188506.html,9500.0
500 sqft,2,1,Apartment,Dhaka,Mirpur,Section 2,A well-constructed beautiful 500 SQ FT apartment is ready to Rent in Mirpur,/en/property/details-4637546.html,8000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 6,For rental purpose 650 Square feet flat is available in Mirpur 6,/en/property/details-3610267.html,13000.0
"1,250 sqft",3,2,Apartment,Dhaka,Mirpur,Section 10,Beautifully constructed 1250 SQ FT apartment is available to Rent in Mirpur,/en/property/details-3514541.html,22000.0
"1,300 sqft",3,3,Apartment,Dhaka,Mirpur,Section 1,A Lovely 1300 SQ FT home is available to Rent in Tolarbag,/en/property/details-5318107.html,17000.0
550 sqft,2,1,Apartment,Dhaka,Mirpur,2nd Colony,Be the tenant of a 550 SQ FT residential flat waiting to get rented at Mirpur,/en/property/details-4305771.html,9000.0
700 sqft,2,2,Apartment,Dhaka,Mirpur,2nd Colony,In Priyangong Residential Area A Standard Flat Is For Rent,/en/property/details-5328975.html,12000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Middle Monipur,A Residential Apartment Is Ready For Rent In Middle Monipur,/en/property/details-5015931.html,12000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Section 10,Affordable And Wonderful Apartment Is Up For Rent In Senpara Parbata,/en/property/details-4453060.html,17000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,650 Square Feet Apartment For Rent In Mirpur,/en/property/details-3382117.html,10000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,2nd Colony,"Affordable And Wonderful Apartment Is Up For Rent In Mazar Road, Mirpur",/en/property/details-4248784.html,14000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,650 Square Feet Apartment For Rent In Mirpur-11,/en/property/details-3478170.html,9500.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,South Monipur,This 1100 Sq Ft Apartment Is Available For Rent In South Monipur,/en/property/details-3357200.html,18000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,South Monipur,"800 Square Feet Apartment Is For Rent In Mirpur, South Monipur",/en/property/details-5316524.html,11000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,Be the dweller of this beautiful 650 SQ FT residential property vacant for rent at Mirpur,/en/property/details-5329012.html,9500.0
"1,250 sqft",3,3,Apartment,Dhaka,Mirpur,Kallyanpur,"Comfy Home Is Vacant For Rent Now In South Kallyanpur, Featuring 1250 Sq Ft Space",/en/property/details-3805563.html,18000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,Be the resident of this 650 SQ FT flat vacant for rent at Mirpur 11,/en/property/details-5328693.html,10000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,A well-featured rental 650 SQ FT residential property is ready for you to own at Mirpur 11,/en/property/details-5328775.html,9000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Kallyanpur,A Convenient 800 Sq Ft Residential Flat Is Prepared To Be Rented At Kallyanpur,/en/property/details-4430375.html,15000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Ahmed Nagar,"800 Sq Ft Flat For Rent In Mirpur, Ahmed Nagar",/en/property/details-5327783.html,12000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,A Well-featured 650 Sq Ft Residence Is Ready For Rent At Mirpur -11,/en/property/details-3725133.html,9500.0
"1,140 sqft",3,2,Apartment,Dhaka,Mirpur,Kallyanpur,Take This 1140 Sq Ft Nice Flat Is For Rent At South Kallyanpur,/en/property/details-3845572.html,18000.0
850 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,Next To Baitul Falah Jame Masjid This Ready And Comfortable Apartment Is Up For Rent At West Kazipara,/en/property/details-5308997.html,11000.0
"1,500 sqft",3,4,Apartment,Dhaka,Mirpur,2nd Colony,A 1500 Sq Ft Well Fitted Residential Property Is On Rent In Mirpur Mazar Road,/en/property/details-4254716.html,22000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Section 10,Covering 800 Sq Ft Space A Nice Flat Is Ready To Rent In Senpara,/en/property/details-3901657.html,15000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Middle Monipur,"In The Convenient Location Of Middle Monipur, A Lovely Flat Of 800 Sq Ft Is Up For Rent",/en/property/details-4016142.html,11000.0
450 sqft,2,1,Apartment,Dhaka,Mirpur,Section 11,450 Square Feet Apartment For Rent At Mirpur 11,/en/property/details-3725488.html,6000.0
"1,260 sqft",3,3,Apartment,Dhaka,Mirpur,Pirerbag,Nice Flat Of 1260 Sq Ft Is All Set For Rent In The Fine Location Of South Pirerbag,/en/property/details-4359042.html,20000.0
750 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,Grab This 750 Sq Ft Flat Up For Rent In Mirpur,/en/property/details-4358820.html,9500.0
850 sqft,2,2,Apartment,Dhaka,Mirpur,Pirerbag,"View This 850 Sq Ft Flat Ready To Rent In Mirpur, Pirerbag",/en/property/details-4358883.html,11000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,650 Square Feet Apartment For Rent In Mirpur-11,/en/property/details-4629274.html,11000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Middle Monipur,Graceful Flat Of 1100 Sq Ft Is Prepared For Rent In Middle Monipur,/en/property/details-3415416.html,15000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 11,650 Square Feet Apartment For Rent In Mirpur-11,/en/property/details-5088192.html,11000.0
650 sqft,1,1,Apartment,Dhaka,Mirpur,West Kazipara,650 Sq Ft Apartment For Rent In Mirpur Beside To Baitur Rob Jaame Masjid,/en/property/details-5308999.html,8000.0
