dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,800 sqft",3,3,Apartment,Dhaka,Uttara,Sector 14,"This 1800 Square Feet Home In Uttara,Sector 14 Is Up For Rent In A Wonderful Neighborhood",/en/property/details-2023833.html,35000.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 12,"Choose your destination, 900 SQ FT flat which is available to Rent in Uttara, Road No 11",/en/property/details-2023213.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Uttara,Sector 11,Completely Suitable And Ready Flat For Rent In Uttara Near Uttara Police Station,/en/property/details-2023624.html,16000.0
800 sqft,2,2,Apartment,Dhaka,Uttara,Sector 11,An Apartment Is Waiting For Rent At Uttara Nearby Shanto-mariam University,/en/property/details-2023658.html,15000.0
"1,305 sqft",3,3,Apartment,Dhaka,Uttara,Sector 10,"Grab This Lovely 1305 Sq. Ft Flat For Rent In Uttara, Sector 10 Before It's Rented Out",/en/property/details-2023535.html,25000.0
950 sqft,3,2,Apartment,Dhaka,Uttara,Sector 11,"At Uttara flat for Rent close to Jame Masjid, Road No 14",/en/property/details-2022994.html,16000.0
"1,600 sqft",3,3,Apartment,Dhaka,Uttara,Sector 4,"Flat for Rent in Uttara, Sector 4 close to Uttara Park",/en/property/details-2022521.html,28000.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 11,"A Beautiful 900 Square Feet Apartment For Rent Is All Set For You In Uttara, Sector 11 .",/en/property/details-2022175.html,17000.0
"1,850 sqft",3,3,Apartment,Dhaka,Uttara,Sector 3,1850 SQ FT flat is now to rent which is in Uttara,/en/property/details-2022113.html,35000.0
800 sqft,2,1,Apartment,Dhaka,Uttara,Sector 9,A Worthy 800 Sq Ft Residential Flat Is Ready For Rent At Uttara Close To Uttara Adhunik Hospital,/en/property/details-2021275.html,18500.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 9,Grab A 900 Sq Ft Flat For Rent At Uttara Close To Uttara Adhunik Hospital,/en/property/details-2021273.html,18000.0
"1,500 sqft",3,3,Apartment,Dhaka,Uttara,Sector 6,A Ready Flat  Is Available For Rent At Uttara Nearby Uttara University,/en/property/details-2015257.html,32000.0
